lifetime,broken,pressureInd,moistureInd,temperatureInd,team,provider
56,0,92.1788540640753,104.230204454489,96.5171587259733,TeamA,Provider4
81,1,72.0759377229452,103.065701425235,87.2710621830793,TeamC,Provider4
60,0,96.2722544275301,77.8013760205322,112.196170262351,TeamA,Provider1
86,1,94.4064612569099,108.49360775332501,72.02537441010291,TeamC,Provider2
34,0,97.7528985897791,99.4134919963974,103.75627055327499,TeamB,Provider1
30,0,87.67880097330129,115.712262320356,89.79210466148541,TeamA,Provider1
68,0,94.61417403713399,85.7022356380606,142.827001371828,TeamB,Provider2
65,1,96.4833028856645,93.04679746738708,98.3161904467832,TeamB,Provider3
23,0,105.48615799058399,118.29199663070601,96.02882217911751,TeamB,Provider2
81,1,99.17823530577459,99.13871701071942,95.4929646113014,TeamC,Provider4
38,0,97.8178440900396,111.074167508023,94.9424432824847,TeamB,Provider4
29,0,67.81225144585629,96.10784622010179,122.371808723507,TeamA,Provider1
65,1,86.3661105866528,92.5619715887506,96.6679497218268,TeamA,Provider3
65,1,76.1446541448713,93.9734544334307,108.944272947925,TeamA,Provider3
82,1,103.10726325886299,103.673197146068,79.50453247681891,TeamC,Provider4
80,1,88.4140794509119,97.36275458474078,89.3198129558635,TeamB,Provider1
48,0,84.3550486764251,103.17491872375,102.399715112682,TeamC,Provider3
80,1,79.66925455152821,95.9269075080747,99.7356352858733,TeamB,Provider1
92,1,86.2291086098403,86.11189974285541,111.842548344086,TeamB,Provider2
88,1,84.1794203871626,114.074065743353,83.62744989138899,TeamB,Provider4
74,1,100.00592327836901,103.502876419145,96.8760349931477,TeamC,Provider1
65,0,115.60755955065599,103.013572734101,101.61684255280899,TeamB,Provider2
61,0,97.6971890319144,101.88496070936701,130.13567598160802,TeamC,Provider1
35,0,101.415622932101,89.75374603711,114.90943403870001,TeamC,Provider2
26,0,118.978697091642,105.298915992675,115.247084995721,TeamA,Provider2
63,0,102.11277493648701,106.25069460373001,92.3151951737787,TeamA,Provider3
88,1,129.124337837297,103.344720199179,92.84635902494009,TeamA,Provider4
79,1,109.033036160127,92.7541199037274,124.76044457018801,TeamB,Provider1
53,0,107.29806945047599,85.0552912921982,109.84100291177,TeamA,Provider3
73,1,127.263954387265,103.55729181332799,133.859669314911,TeamC,Provider1
60,1,138.19112046821698,91.656268959658,101.925927756907,TeamC,Provider3
13,0,72.55408416845451,111.376419170565,93.5414196283594,TeamB,Provider2
34,0,95.21464918093571,93.0717093398685,75.8454211390509,TeamA,Provider4
36,0,91.24713174386049,93.0372822347372,94.45839706864679,TeamB,Provider3
80,1,81.5553769784936,90.6988936711566,97.02690353467631,TeamB,Provider1
65,1,69.1345951914298,81.9801223418274,81.033925057653,TeamB,Provider3
31,0,132.85747840577199,82.0372826041976,106.719265124192,TeamB,Provider1
74,1,54.735331454844705,91.3244327121414,91.4247947250669,TeamC,Provider1
25,0,84.8986462765521,84.86790094942529,96.55605180010721,TeamA,Provider4
58,0,94.15228726339451,88.4466586827165,135.744778497752,TeamB,Provider3
80,1,84.3440664667572,103.377052077521,113.2754592699,TeamA,Provider1
65,1,95.75352436220119,92.31580753891791,95.3270283918878,TeamA,Provider3
19,0,123.928439942715,102.34025662719,110.950760877646,TeamA,Provider3
60,1,101.50535079221399,77.6598205058081,107.656093845233,TeamC,Provider3
84,0,120.94555020568501,101.98585192219299,101.884101694703,TeamB,Provider4
13,0,83.0685711492724,104.160709569624,124.362915255101,TeamC,Provider1
12,0,113.34912186668501,114.473185940525,101.565777156702,TeamC,Provider1
15,0,75.6466929947925,114.198857430972,86.81793728856199,TeamC,Provider1
26,0,113.43583213176201,91.82061857788601,95.36508541469509,TeamA,Provider4
43,0,81.7797835344172,91.9656538462526,75.14654633730692,TeamA,Provider4
80,1,68.85065142262779,106.21423575713499,115.71196989066999,TeamB,Provider1
65,1,150.665420952685,89.1390321941601,102.67990264076401,TeamB,Provider3
1,0,72.42312878147341,120.48415516176901,116.400433386931,TeamB,Provider2
34,0,97.132862327607,117.24490631636101,101.504204284428,TeamA,Provider4
80,1,113.965257013214,127.30260741562799,107.26473607810499,TeamA,Provider1
12,0,57.4632132550643,104.97908939295999,100.52801462858801,TeamB,Provider2
92,1,144.344517413483,95.1218621652731,127.840226198999,TeamA,Provider2
82,1,80.69223152527701,102.92545857331699,74.673652769543,TeamC,Provider4
65,1,93.9133259837448,91.26211515301979,91.4866178720903,TeamB,Provider3
20,0,73.32115289270259,123.89800032577101,129.439690146271,TeamB,Provider3
16,0,83.9583115687327,101.7508801791,117.898146254129,TeamB,Provider3
3,0,56.1717713452795,88.9170300237212,96.1433872824495,TeamC,Provider1
18,0,105.900037218583,104.268168669278,54.5736299504527,TeamC,Provider2
7,0,115.698400964051,105.85084571868,89.34379967746959,TeamA,Provider4
47,0,119.745995688186,119.104633488615,112.34128257558001,TeamA,Provider1
23,0,105.89376364107201,104.395459971189,118.38531664645599,TeamA,Provider3
39,0,87.3928413294564,106.16623393023599,84.52171258315501,TeamB,Provider4
48,0,82.88180028757941,91.0251786442303,94.6200738154102,TeamC,Provider2
57,0,122.287990951171,93.8483521250464,91.06499024118479,TeamA,Provider1
68,0,85.0722088253067,104.10946466021099,107.71403693928002,TeamB,Provider2
18,0,119.204381028889,111.772156079851,84.2420852247211,TeamC,Provider1
1,0,107.78599306505801,117.39033587806001,113.37730840076999,TeamB,Provider4
81,1,90.6712343177824,89.5638833022548,86.3841846669896,TeamC,Provider4
65,0,66.6378838260858,92.20583056362041,99.06197864713621,TeamC,Provider2
4,0,107.837358817626,99.83817218289221,111.084852791247,TeamB,Provider4
24,0,113.27260530299601,114.696551952368,79.6998202852688,TeamA,Provider3
74,1,85.3313779769807,97.0452263816167,91.4131353989674,TeamC,Provider1
74,1,82.5282191076538,109.638423702737,96.5979961208589,TeamC,Provider1
16,0,90.636828612749,101.801610451346,130.055985128168,TeamB,Provider4
88,0,112.60532995587499,100.274340904129,87.9836311173932,TeamB,Provider4
28,0,78.6659308082895,110.51840767343398,111.078453638246,TeamA,Provider4
92,1,70.1017188061852,92.5590667268942,131.734206033081,TeamA,Provider2
49,0,99.12691885267309,105.45578904535499,113.464436916463,TeamB,Provider4
39,0,129.815587555633,104.070275828454,99.86173260141321,TeamA,Provider3
18,0,129.358668618135,95.4877995865312,104.75824390607201,TeamA,Provider1
80,0,86.430680267044,104.693943085313,86.3961799808754,TeamB,Provider4
81,1,127.64326439260701,92.644797575282,98.0551415163719,TeamC,Provider4
65,1,95.2453990570643,115.95038640582199,100.417860174062,TeamA,Provider3
79,1,83.4942365876273,93.4004699912755,121.297759826569,TeamB,Provider1
19,0,96.2196186480136,90.66213673457871,125.83852208616501,TeamB,Provider2
58,0,79.1113931011273,73.6071607008806,74.87462309988359,TeamA,Provider1
76,0,106.86718874284901,118.948357369232,97.42421086428058,TeamA,Provider4
92,1,111.255811350868,97.35998620727551,122.03427335297899,TeamA,Provider2
